============================================
HMARL-SOC Multi-Seed Training (Mac M4 MPS)
Episodes per seed: 10000
Seeds: 123, 456, 789, 1024
Start time: Sun Feb 22 16:11:54 +07 2026
============================================

========================================
Starting seed 123 at Sun Feb 22 16:11:54 +07 2026
========================================
Device: mps, Seed: 123
Starting training: 10000 episodes, K=10
============================================================
Episode   7900 | Avg Reward:     8.94 | MTTD:   8 | MTTR:  25 | FPR: 0.444 | CSR: 1
Episode   8000 | Avg Reward:     8.49 | MTTD:   6 | MTTR:  24 | FPR: 0.455 | CSR: 1
Episode   8100 | Avg Reward:     8.27 | MTTD:   4 | MTTR:  18 | FPR: 0.091 | CSR: 1
Episode   8200 | Avg Reward:     8.72 | MTTD:   4 | MTTR:  68 | FPR: 0.176 | CSR: 1
Episode   8300 | Avg Reward:     9.68 | MTTD:   6 | MTTR:  12 | FPR: 0.222 | CSR: 1
Episode   8400 | Avg Reward:     8.86 | MTTD:  11 | MTTR: 200 | FPR: 0.200 | CSR: 0
Episode   8500 | Avg Reward:     9.08 | MTTD:   8 | MTTR:  33 | FPR: 0.150 | CSR: 1
Episode   8600 | Avg Reward:     8.67 | MTTD:  13 | MTTR: 200 | FPR: 0.167 | CSR: 0
Episode   8700 | Avg Reward:     7.95 | MTTD:  15 | MTTR:  21 | FPR: 0.182 | CSR: 1
Episode   8800 | Avg Reward:     7.17 | MTTD:   6 | MTTR:  22 | FPR: 0.200 | CSR: 1
Episode   8900 | Avg Reward:     9.20 | MTTD:  11 | MTTR:  49 | FPR: 0.258 | CSR: 1
Episode   9000 | Avg Reward:     8.29 | MTTD:   5 | MTTR:  23 | FPR: 0.250 | CSR: 1
Episode   9100 | Avg Reward:     8.50 | MTTD:   9 | MTTR:  47 | FPR: 0.059 | CSR: 1
Episode   9200 | Avg Reward:     8.74 | MTTD:  10 | MTTR:  28 | FPR: 0.077 | CSR: 1
Episode   9300 | Avg Reward:     8.54 | MTTD:   5 | MTTR:  34 | FPR: 0.211 | CSR: 1
Episode   9400 | Avg Reward:    10.05 | MTTD:   5 | MTTR:  14 | FPR: 0.111 | CSR: 1
Episode   9500 | Avg Reward:     8.78 | MTTD:   8 | MTTR: 200 | FPR: 0.100 | CSR: 0
Episode   9600 | Avg Reward:     7.61 | MTTD:  12 | MTTR:  18 | FPR: 0.000 | CSR: 1
Episode   9700 | Avg Reward:     8.37 | MTTD:   7 | MTTR:  10 | FPR: 0.000 | CSR: 1
Episode   9800 | Avg Reward:     7.72 | MTTD:   4 | MTTR:   4 | FPR: 0.000 | CSR: 1
Episode   9900 | Avg Reward:     8.67 | MTTD:   6 | MTTR:  61 | FPR: 0.086 | CSR: 1
Episode  10000 | Avg Reward:     8.85 | MTTD:   7 | MTTR: 200 | FPR: 0.179 | CSR: 0

Training complete. Best reward: 16.16
Logs saved to: checkpoints/train_seed123.csv
Seed 123 complete at Sun Feb 22 22:02:02 +07 2026

========================================
Starting seed 456 at Sun Feb 22 22:02:02 +07 2026
========================================
Device: mps, Seed: 456
Starting training: 10000 episodes, K=10
============================================================
Episode    100 | Avg Reward:  -102.44 | MTTD: 148 | MTTR: 200 | FPR: 0.283 | CSR: 0
Episode    200 | Avg Reward:   -15.58 | MTTD: 100 | MTTR: 200 | FPR: 0.164 | CSR: 0
Episode    300 | Avg Reward:    -7.43 | MTTD:   5 | MTTR: 123 | FPR: 0.130 | CSR: 1
Episode    400 | Avg Reward:    -2.74 | MTTD:  24 | MTTR: 126 | FPR: 0.090 | CSR: 1
Episode    500 | Avg Reward:    -3.93 | MTTD:  26 | MTTR: 200 | FPR: 0.130 | CSR: 0
Episode    600 | Avg Reward:    -2.34 | MTTD:   8 | MTTR: 200 | FPR: 0.098 | CSR: 0
Episode    700 | Avg Reward:    -1.83 | MTTD:  14 | MTTR: 200 | FPR: 0.267 | CSR: 0
Episode    800 | Avg Reward:    -1.00 | MTTD:  17 | MTTR: 200 | FPR: 0.276 | CSR: 0
Episode    900 | Avg Reward:     0.46 | MTTD:   9 | MTTR:  65 | FPR: 0.156 | CSR: 1
Episode   1000 | Avg Reward:    -0.79 | MTTD:   6 | MTTR: 200 | FPR: 0.857 | CSR: 0
Episode   1100 | Avg Reward:     1.65 | MTTD:  14 | MTTR: 126 | FPR: 0.107 | CSR: 1
Episode   1200 | Avg Reward:     1.36 | MTTD:  30 | MTTR:  34 | FPR: 0.304 | CSR: 1
Episode   1300 | Avg Reward:     2.06 | MTTD:   7 | MTTR:  15 | FPR: 0.600 | CSR: 1
Episode   1400 | Avg Reward:     1.13 | MTTD:   7 | MTTR:  64 | FPR: 0.000 | CSR: 1
Episode   1500 | Avg Reward:     0.80 | MTTD:  10 | MTTR: 200 | FPR: 0.077 | CSR: 0
Episode   1600 | Avg Reward:     0.98 | MTTD:   6 | MTTR:  12 | FPR: 0.600 | CSR: 1
Episode   1700 | Avg Reward:    -0.51 | MTTD:  12 | MTTR: 200 | FPR: 0.250 | CSR: 0
Episode   1800 | Avg Reward:    -0.45 | MTTD:  17 | MTTR:  71 | FPR: 0.200 | CSR: 1
Episode   1900 | Avg Reward:     1.70 | MTTD:  16 | MTTR:  16 | FPR: 0.000 | CSR: 1
Episode   2000 | Avg Reward:     2.04 | MTTD:  10 | MTTR:  35 | FPR: 0.190 | CSR: 1
Episode   2100 | Avg Reward:     2.62 | MTTD:   5 | MTTR: 200 | FPR: 0.107 | CSR: 0
Episode   2200 | Avg Reward:     1.74 | MTTD:   8 | MTTR: 200 | FPR: 0.333 | CSR: 0
Episode   2300 | Avg Reward:     1.07 | MTTD:   4 | MTTR:  45 | FPR: 0.067 | CSR: 1
Episode   2400 | Avg Reward:    -0.72 | MTTD:  16 | MTTR: 200 | FPR: 0.125 | CSR: 0
Episode   2500 | Avg Reward:     0.80 | MTTD:   4 | MTTR:  38 | FPR: 0.059 | CSR: 1
Episode   2600 | Avg Reward:     1.38 | MTTD:   9 | MTTR:  11 | FPR: 0.000 | CSR: 1
Episode   2700 | Avg Reward:     2.13 | MTTD:   7 | MTTR: 200 | FPR: 0.134 | CSR: 0
Episode   2800 | Avg Reward:     3.81 | MTTD:   5 | MTTR:  69 | FPR: 0.308 | CSR: 1
Episode   2900 | Avg Reward:     4.30 | MTTD:   8 | MTTR:  15 | FPR: 0.500 | CSR: 1
Episode   3000 | Avg Reward:     3.20 | MTTD:   9 | MTTR:  62 | FPR: 0.067 | CSR: 1
Episode   3100 | Avg Reward:     2.45 | MTTD:  11 | MTTR:  42 | FPR: 0.250 | CSR: 1
Episode   3200 | Avg Reward:     0.58 | MTTD:   5 | MTTR: 200 | FPR: 0.155 | CSR: 0
Episode   3300 | Avg Reward:     2.75 | MTTD:   7 | MTTR:  55 | FPR: 0.103 | CSR: 1
Episode   3400 | Avg Reward:     2.59 | MTTD:   5 | MTTR: 200 | FPR: 0.234 | CSR: 0
Episode   3500 | Avg Reward:    -0.20 | MTTD:   7 | MTTR:  37 | FPR: 0.261 | CSR: 1
Episode   3600 | Avg Reward:    -1.28 | MTTD:   7 | MTTR: 200 | FPR: 0.362 | CSR: 0
Episode   3700 | Avg Reward:    -0.22 | MTTD:  10 | MTTR: 200 | FPR: 0.279 | CSR: 0
Episode   3800 | Avg Reward:     0.05 | MTTD:   6 | MTTR:  82 | FPR: 0.594 | CSR: 1
Episode   3900 | Avg Reward:     0.39 | MTTD:   7 | MTTR: 200 | FPR: 0.244 | CSR: 0
Episode   4000 | Avg Reward:     0.46 | MTTD:   7 | MTTR: 200 | FPR: 0.000 | CSR: 0
Episode   4100 | Avg Reward:     0.34 | MTTD:   6 | MTTR:  25 | FPR: 1.000 | CSR: 1
Episode   4200 | Avg Reward:     1.07 | MTTD:   5 | MTTR: 200 | FPR: 0.222 | CSR: 0
Episode   4300 | Avg Reward:     2.43 | MTTD:   5 | MTTR:  52 | FPR: 0.273 | CSR: 1
Episode   4400 | Avg Reward:     2.95 | MTTD:   7 | MTTR:  20 | FPR: 0.000 | CSR: 1
Episode   4500 | Avg Reward:     0.90 | MTTD:   8 | MTTR:  32 | FPR: 0.455 | CSR: 1
Episode   4600 | Avg Reward:     1.33 | MTTD:   7 | MTTR: 200 | FPR: 0.000 | CSR: 0
Episode   4700 | Avg Reward:     0.85 | MTTD:   8 | MTTR: 200 | FPR: 0.173 | CSR: 0
Episode   4800 | Avg Reward:     0.71 | MTTD:  10 | MTTR:  34 | FPR: 0.368 | CSR: 1
Episode   4900 | Avg Reward:     0.82 | MTTD:   4 | MTTR:  19 | FPR: 0.333 | CSR: 1
Episode   5000 | Avg Reward:    -1.16 | MTTD:   8 | MTTR:  13 | FPR: 0.100 | CSR: 1
Episode   5100 | Avg Reward:    -3.10 | MTTD:   7 | MTTR:  27 | FPR: 0.278 | CSR: 1
