Device: mps, Seed: 1024, Workers: 1
torch.compile: skipped (Python 3.9, needs 3.10+)
Mixed precision: enabled (torch.float16)
Replay buffer: prioritized (standard)
Starting training: 10000 episodes, K=5, workers=1
============================================================
Episode   7100 | Avg Reward:     5.50 | MTTD:  58 | MTTR: 180 | FPR: 0.002 | CSR: 1 | 2.1 ep/s | ETA: 23m
Episode   7200 | Avg Reward:     6.56 | MTTD:   7 | MTTR: 112 | FPR: 0.001 | CSR: 1 | 2.1 ep/s | ETA: 22m
Episode   7300 | Avg Reward:     5.08 | MTTD:  12 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 2.1 ep/s | ETA: 22m
Episode   7400 | Avg Reward:     5.17 | MTTD:  73 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 2.1 ep/s | ETA: 21m
Episode   7500 | Avg Reward:     6.30 | MTTD:   6 | MTTR:  73 | FPR: 0.003 | CSR: 1 | 2.1 ep/s | ETA: 20m
Episode   7600 | Avg Reward:     5.61 | MTTD:  11 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 2.1 ep/s | ETA: 19m
Episode   7700 | Avg Reward:     4.42 | MTTD:  42 | MTTR: 200 | FPR: 0.004 | CSR: 0 | 2.1 ep/s | ETA: 18m
Episode   7800 | Avg Reward:     6.01 | MTTD:  33 | MTTR: 200 | FPR: 0.005 | CSR: 0 | 2.1 ep/s | ETA: 18m
Episode   7900 | Avg Reward:     4.26 | MTTD:  16 | MTTR: 109 | FPR: 0.001 | CSR: 1 | 2.1 ep/s | ETA: 17m
Episode   8000 | Avg Reward:     4.86 | MTTD:  33 | MTTR: 156 | FPR: 0.001 | CSR: 1 | 2.1 ep/s | ETA: 16m
Episode   8100 | Avg Reward:     6.00 | MTTD:  15 | MTTR:  91 | FPR: 0.002 | CSR: 1 | 2.1 ep/s | ETA: 15m
Episode   8200 | Avg Reward:     5.15 | MTTD:  17 | MTTR:  39 | FPR: 0.002 | CSR: 1 | 2.1 ep/s | ETA: 15m
Episode   8300 | Avg Reward:     5.72 | MTTD:  11 | MTTR:  12 | FPR: 0.000 | CSR: 1 | 2.1 ep/s | ETA: 14m
Episode   8400 | Avg Reward:     5.23 | MTTD:  22 | MTTR:  64 | FPR: 0.003 | CSR: 1 | 2.1 ep/s | ETA: 13m
Episode   8500 | Avg Reward:     5.87 | MTTD:  26 | MTTR:  97 | FPR: 0.008 | CSR: 1 | 2.1 ep/s | ETA: 12m
Episode   8600 | Avg Reward:     6.61 | MTTD:  24 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 2.1 ep/s | ETA: 11m
Episode   8700 | Avg Reward:     6.54 | MTTD:  13 | MTTR: 127 | FPR: 0.002 | CSR: 1 | 2.1 ep/s | ETA: 11m
Episode   8800 | Avg Reward:     5.75 | MTTD:  21 | MTTR: 145 | FPR: 0.003 | CSR: 1 | 2.1 ep/s | ETA: 10m
Episode   8900 | Avg Reward:     5.76 | MTTD:  17 | MTTR:  85 | FPR: 0.001 | CSR: 1 | 2.1 ep/s | ETA: 9m
Episode   9000 | Avg Reward:     6.31 | MTTD:  12 | MTTR: 200 | FPR: 0.004 | CSR: 0 | 2.1 ep/s | ETA: 8m
Episode   9100 | Avg Reward:     6.49 | MTTD:  46 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 2.1 ep/s | ETA: 7m
Episode   9200 | Avg Reward:     4.31 | MTTD:  26 | MTTR:  63 | FPR: 0.002 | CSR: 1 | 2.1 ep/s | ETA: 6m
Episode   9300 | Avg Reward:     5.87 | MTTD:  47 | MTTR: 200 | FPR: 0.004 | CSR: 0 | 2.1 ep/s | ETA: 6m
Episode   9400 | Avg Reward:     6.82 | MTTD:  18 | MTTR:  79 | FPR: 0.002 | CSR: 1 | 2.1 ep/s | ETA: 5m
Episode   9500 | Avg Reward:     4.71 | MTTD:  13 | MTTR:  13 | FPR: 0.002 | CSR: 1 | 2.1 ep/s | ETA: 4m
Episode   9600 | Avg Reward:     4.59 | MTTD:   4 | MTTR:  78 | FPR: 0.000 | CSR: 1 | 2.1 ep/s | ETA: 3m
Episode   9700 | Avg Reward:     5.43 | MTTD:  47 | MTTR: 172 | FPR: 0.001 | CSR: 1 | 2.1 ep/s | ETA: 2m
Episode   9800 | Avg Reward:     7.23 | MTTD:   9 | MTTR:  54 | FPR: 0.001 | CSR: 1 | 2.1 ep/s | ETA: 2m
Episode   9900 | Avg Reward:     6.65 | MTTD:   5 | MTTR:   5 | FPR: 0.002 | CSR: 1 | 2.1 ep/s | ETA: 1m
Episode  10000 | Avg Reward:     6.67 | MTTD:  21 | MTTR:  86 | FPR: 0.001 | CSR: 1 | 2.1 ep/s | ETA: 0m

Training complete in 78.7 minutes. Best reward: 13.54
Logs saved to: checkpoints/train_wo_sc_seed1024.csv
