Device: mps, Seed: 42, Workers: 4
torch.compile: enabled for SC (aot_eager)
Mixed precision: enabled (torch.float16)
Replay buffer: prioritized (standard)
Starting training: 10000 episodes, K=5, workers=4
============================================================
Episode   5900 | Avg Reward:     3.75 | MTTD:  10 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 3.1 ep/s | ETA: 22m
Episode   6000 | Avg Reward:     3.65 | MTTD:  94 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 3.1 ep/s | ETA: 21m
Episode   6100 | Avg Reward:     1.54 | MTTD:  11 | MTTR: 200 | FPR: 0.004 | CSR: 0 | 3.1 ep/s | ETA: 21m
Episode   6200 | Avg Reward:     0.35 | MTTD: 200 | MTTR: 200 | FPR: 0.009 | CSR: 0 | 3.1 ep/s | ETA: 20m
Episode   6300 | Avg Reward:     2.67 | MTTD:  19 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 3.1 ep/s | ETA: 20m
Episode   6400 | Avg Reward:     0.86 | MTTD:  67 | MTTR: 200 | FPR: 0.010 | CSR: 0 | 3.1 ep/s | ETA: 19m
Episode   6500 | Avg Reward:     0.87 | MTTD: 200 | MTTR: 200 | FPR: 0.059 | CSR: 0 | 3.1 ep/s | ETA: 19m
Episode   6600 | Avg Reward:     0.93 | MTTD:  93 | MTTR: 200 | FPR: 0.012 | CSR: 0 | 3.1 ep/s | ETA: 18m
Episode   6700 | Avg Reward:     0.37 | MTTD: 200 | MTTR: 200 | FPR: 0.004 | CSR: 0 | 3.1 ep/s | ETA: 18m
Episode   6800 | Avg Reward:     1.69 | MTTD:  34 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 3.1 ep/s | ETA: 17m
Episode   6900 | Avg Reward:     5.84 | MTTD:  27 | MTTR: 120 | FPR: 0.001 | CSR: 1 | 3.1 ep/s | ETA: 17m
Episode   7000 | Avg Reward:     5.09 | MTTD:  62 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 3.1 ep/s | ETA: 16m
Episode   7100 | Avg Reward:     4.05 | MTTD:  63 | MTTR: 178 | FPR: 0.001 | CSR: 1 | 3.2 ep/s | ETA: 15m
Episode   7200 | Avg Reward:     2.61 | MTTD:  42 | MTTR: 200 | FPR: 0.004 | CSR: 0 | 3.2 ep/s | ETA: 15m
Episode   7300 | Avg Reward:     6.12 | MTTD:  24 | MTTR: 108 | FPR: 0.003 | CSR: 1 | 3.2 ep/s | ETA: 14m
Episode   7400 | Avg Reward:     4.60 | MTTD:  21 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 3.2 ep/s | ETA: 14m
Episode   7500 | Avg Reward:     3.91 | MTTD:   8 | MTTR:  36 | FPR: 0.001 | CSR: 1 | 3.2 ep/s | ETA: 13m
Episode   7600 | Avg Reward:     4.98 | MTTD:  27 | MTTR:  88 | FPR: 0.000 | CSR: 1 | 3.2 ep/s | ETA: 12m
Episode   7700 | Avg Reward:     6.75 | MTTD:  26 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 3.3 ep/s | ETA: 12m
Episode   7800 | Avg Reward:     6.36 | MTTD:  10 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 3.3 ep/s | ETA: 11m
Episode   7900 | Avg Reward:     5.54 | MTTD:   5 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 3.3 ep/s | ETA: 11m
Episode   8000 | Avg Reward:     5.94 | MTTD:  21 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 3.3 ep/s | ETA: 10m
Episode   8100 | Avg Reward:     5.68 | MTTD:   6 | MTTR: 200 | FPR: 0.000 | CSR: 0 | 3.3 ep/s | ETA: 9m
Episode   8200 | Avg Reward:     5.48 | MTTD:  26 | MTTR:  32 | FPR: 0.002 | CSR: 1 | 3.3 ep/s | ETA: 9m
Episode   8300 | Avg Reward:     2.89 | MTTD:  46 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 3.4 ep/s | ETA: 8m
Episode   8400 | Avg Reward:     5.35 | MTTD:   4 | MTTR:  25 | FPR: 0.001 | CSR: 1 | 3.4 ep/s | ETA: 8m
Episode   8500 | Avg Reward:     5.53 | MTTD:  31 | MTTR: 200 | FPR: 0.004 | CSR: 0 | 3.4 ep/s | ETA: 7m
Episode   8600 | Avg Reward:     4.65 | MTTD:  15 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 3.4 ep/s | ETA: 7m
Episode   8700 | Avg Reward:     5.81 | MTTD:  16 | MTTR:  32 | FPR: 0.002 | CSR: 1 | 3.4 ep/s | ETA: 6m
Episode   8800 | Avg Reward:     4.53 | MTTD:   8 | MTTR:  93 | FPR: 0.010 | CSR: 1 | 3.4 ep/s | ETA: 6m
Episode   8900 | Avg Reward:     4.14 | MTTD:   5 | MTTR:  48 | FPR: 0.000 | CSR: 1 | 3.4 ep/s | ETA: 5m
Episode   9000 | Avg Reward:     6.07 | MTTD:  32 | MTTR:  67 | FPR: 0.000 | CSR: 1 | 3.4 ep/s | ETA: 5m
Episode   9100 | Avg Reward:     3.21 | MTTD:  30 | MTTR: 200 | FPR: 0.006 | CSR: 0 | 3.4 ep/s | ETA: 4m
Episode   9200 | Avg Reward:     4.62 | MTTD:  62 | MTTR: 200 | FPR: 0.005 | CSR: 0 | 3.5 ep/s | ETA: 4m
Episode   9300 | Avg Reward:     6.50 | MTTD:  37 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 3.5 ep/s | ETA: 3m
Episode   9400 | Avg Reward:     4.79 | MTTD:  10 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 3.5 ep/s | ETA: 3m
Episode   9500 | Avg Reward:     4.96 | MTTD:  20 | MTTR:  62 | FPR: 0.002 | CSR: 1 | 3.5 ep/s | ETA: 2m
Episode   9600 | Avg Reward:     6.26 | MTTD:  17 | MTTR:  21 | FPR: 0.001 | CSR: 1 | 3.5 ep/s | ETA: 2m
Episode   9700 | Avg Reward:     5.77 | MTTD:   8 | MTTR: 200 | FPR: 0.000 | CSR: 0 | 3.6 ep/s | ETA: 1m
Episode   9800 | Avg Reward:     5.40 | MTTD:  25 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 3.6 ep/s | ETA: 1m
Episode   9900 | Avg Reward:     5.71 | MTTD:   4 | MTTR:  39 | FPR: 0.001 | CSR: 1 | 3.6 ep/s | ETA: 0m
Episode  10000 | Avg Reward:     4.95 | MTTD:  19 | MTTR:  72 | FPR: 0.001 | CSR: 1 | 3.6 ep/s | ETA: 0m

Training complete in 46.3 minutes. Best reward: 15.56
Logs saved to: checkpoints/train_seed42.csv
