Device: mps, Seed: 42, Workers: 1
torch.compile: skipped (Python 3.9, needs 3.10+)
Mixed precision: enabled (torch.float16)
Replay buffer: prioritized (standard)
Starting training: 10000 episodes, K=5, workers=1
============================================================
Episode   5400 | Avg Reward:     3.11 | MTTD:  14 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 2.0 ep/s | ETA: 39m
Episode   5500 | Avg Reward:     1.13 | MTTD:  56 | MTTR:  57 | FPR: 0.004 | CSR: 1 | 1.9 ep/s | ETA: 39m
Episode   5600 | Avg Reward:     2.88 | MTTD:  40 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 1.9 ep/s | ETA: 38m
Episode   5700 | Avg Reward:     3.66 | MTTD:  11 | MTTR: 200 | FPR: 0.000 | CSR: 0 | 1.9 ep/s | ETA: 38m
Episode   5800 | Avg Reward:     2.69 | MTTD:   7 | MTTR: 200 | FPR: 0.003 | CSR: 0 | 1.9 ep/s | ETA: 37m
Episode   5900 | Avg Reward:     3.04 | MTTD:  77 | MTTR: 200 | FPR: 0.000 | CSR: 0 | 1.9 ep/s | ETA: 36m
Episode   6000 | Avg Reward:     2.79 | MTTD: 200 | MTTR: 200 | FPR: 0.007 | CSR: 0 | 1.9 ep/s | ETA: 35m
Episode   6100 | Avg Reward:     1.36 | MTTD:  24 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 1.9 ep/s | ETA: 34m
Episode   6200 | Avg Reward:     2.62 | MTTD:  25 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 1.9 ep/s | ETA: 33m
Episode   6300 | Avg Reward:     3.55 | MTTD:   7 | MTTR: 173 | FPR: 0.001 | CSR: 1 | 1.9 ep/s | ETA: 33m
Episode   6400 | Avg Reward:     3.02 | MTTD:  76 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 1.9 ep/s | ETA: 32m
Episode   6500 | Avg Reward:     3.06 | MTTD:  18 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 1.9 ep/s | ETA: 31m
Episode   6600 | Avg Reward:     2.32 | MTTD:   8 | MTTR:  63 | FPR: 0.001 | CSR: 1 | 1.9 ep/s | ETA: 31m
Episode   6700 | Avg Reward:     3.40 | MTTD:  13 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 1.9 ep/s | ETA: 30m
Episode   6800 | Avg Reward:     3.37 | MTTD:   9 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 1.9 ep/s | ETA: 29m
Episode   6900 | Avg Reward:     3.47 | MTTD:  48 | MTTR:  50 | FPR: 0.002 | CSR: 1 | 1.9 ep/s | ETA: 28m
Episode   7000 | Avg Reward:     3.85 | MTTD:  16 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 1.9 ep/s | ETA: 27m
Episode   7100 | Avg Reward:     4.93 | MTTD:  24 | MTTR:  45 | FPR: 0.006 | CSR: 1 | 1.9 ep/s | ETA: 26m
Episode   7200 | Avg Reward:     2.90 | MTTD:  12 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 1.9 ep/s | ETA: 25m
Episode   7300 | Avg Reward:     4.64 | MTTD:  80 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 1.8 ep/s | ETA: 24m
Episode   7400 | Avg Reward:     3.22 | MTTD:  18 | MTTR: 200 | FPR: 0.003 | CSR: 0 | 1.8 ep/s | ETA: 23m
Episode   7500 | Avg Reward:     4.30 | MTTD:  19 | MTTR: 200 | FPR: 0.005 | CSR: 0 | 1.8 ep/s | ETA: 23m
Episode   7600 | Avg Reward:     4.21 | MTTD:   8 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 1.8 ep/s | ETA: 22m
Episode   7700 | Avg Reward:     3.78 | MTTD:  10 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 1.8 ep/s | ETA: 21m
Episode   7800 | Avg Reward:     3.35 | MTTD:  74 | MTTR: 200 | FPR: 0.018 | CSR: 0 | 1.8 ep/s | ETA: 20m
Episode   7900 | Avg Reward:     4.67 | MTTD:   7 | MTTR:  72 | FPR: 0.003 | CSR: 1 | 1.8 ep/s | ETA: 19m
Episode   8000 | Avg Reward:     3.98 | MTTD:  36 | MTTR: 200 | FPR: 0.003 | CSR: 0 | 1.8 ep/s | ETA: 18m
Episode   8100 | Avg Reward:     5.20 | MTTD:  12 | MTTR: 200 | FPR: 0.003 | CSR: 0 | 1.9 ep/s | ETA: 17m
Episode   8200 | Avg Reward:     5.86 | MTTD:  12 | MTTR:  64 | FPR: 0.001 | CSR: 1 | 1.9 ep/s | ETA: 16m
Episode   8300 | Avg Reward:     4.97 | MTTD:  19 | MTTR:  73 | FPR: 0.003 | CSR: 1 | 1.9 ep/s | ETA: 15m
Episode   8400 | Avg Reward:     5.49 | MTTD:   7 | MTTR: 174 | FPR: 0.005 | CSR: 1 | 1.9 ep/s | ETA: 14m
Episode   8500 | Avg Reward:     3.78 | MTTD:   8 | MTTR:  52 | FPR: 0.002 | CSR: 1 | 1.9 ep/s | ETA: 13m
Episode   8600 | Avg Reward:     4.32 | MTTD:  13 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 1.9 ep/s | ETA: 12m
Episode   8700 | Avg Reward:     3.83 | MTTD:   4 | MTTR: 200 | FPR: 0.004 | CSR: 0 | 1.9 ep/s | ETA: 12m
Episode   8800 | Avg Reward:     3.23 | MTTD:  17 | MTTR: 104 | FPR: 0.002 | CSR: 1 | 1.9 ep/s | ETA: 11m
Episode   8900 | Avg Reward:     4.55 | MTTD:  16 | MTTR: 115 | FPR: 0.002 | CSR: 1 | 1.9 ep/s | ETA: 10m
Episode   9000 | Avg Reward:     5.52 | MTTD:  43 | MTTR:  91 | FPR: 0.005 | CSR: 1 | 1.9 ep/s | ETA: 9m
Episode   9100 | Avg Reward:     5.28 | MTTD:  32 | MTTR: 200 | FPR: 0.004 | CSR: 0 | 1.9 ep/s | ETA: 8m
Episode   9200 | Avg Reward:     6.27 | MTTD:  41 | MTTR:  46 | FPR: 0.011 | CSR: 1 | 1.9 ep/s | ETA: 7m
Episode   9300 | Avg Reward:     6.16 | MTTD:   5 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 1.9 ep/s | ETA: 6m
Episode   9400 | Avg Reward:     6.40 | MTTD:  21 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 1.9 ep/s | ETA: 5m
Episode   9500 | Avg Reward:     4.97 | MTTD:  20 | MTTR: 200 | FPR: 0.005 | CSR: 0 | 1.9 ep/s | ETA: 4m
Episode   9600 | Avg Reward:     4.66 | MTTD:  18 | MTTR:  74 | FPR: 0.001 | CSR: 1 | 2.0 ep/s | ETA: 3m
Episode   9700 | Avg Reward:     4.98 | MTTD:   9 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 2.0 ep/s | ETA: 3m
Episode   9800 | Avg Reward:     5.52 | MTTD:  39 | MTTR:  53 | FPR: 0.001 | CSR: 1 | 2.0 ep/s | ETA: 2m
Episode   9900 | Avg Reward:     5.45 | MTTD:  24 | MTTR:  97 | FPR: 0.002 | CSR: 1 | 2.0 ep/s | ETA: 1m
Episode  10000 | Avg Reward:     5.05 | MTTD:  12 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 2.0 ep/s | ETA: 0m

Training complete in 83.5 minutes. Best reward: 13.17
Logs saved to: checkpoints/train_wo_sc_seed42.csv
