Device: mps, Seed: 456, Workers: 4
torch.compile: enabled for SC (aot_eager)
Mixed precision: enabled (torch.float16)
Replay buffer: prioritized (standard)
Starting training: 10000 episodes, K=5, workers=4
============================================================
Episode   9000 | Avg Reward:     7.32 | MTTD:   7 | MTTR:  14 | FPR: 0.002 | CSR: 1 | 3.4 ep/s | ETA: 5m
Episode   9100 | Avg Reward:     6.60 | MTTD:  19 | MTTR:  44 | FPR: 0.005 | CSR: 1 | 3.4 ep/s | ETA: 4m
Episode   9200 | Avg Reward:     7.90 | MTTD:   9 | MTTR:  24 | FPR: 0.000 | CSR: 1 | 3.4 ep/s | ETA: 4m
Episode   9300 | Avg Reward:     9.21 | MTTD:  15 | MTTR:  38 | FPR: 0.002 | CSR: 1 | 3.5 ep/s | ETA: 3m
Episode   9400 | Avg Reward:     8.94 | MTTD:   8 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 3.5 ep/s | ETA: 3m
Episode   9500 | Avg Reward:     7.43 | MTTD:   6 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 3.5 ep/s | ETA: 2m
Episode   9600 | Avg Reward:     5.94 | MTTD:   6 | MTTR:  44 | FPR: 0.000 | CSR: 1 | 3.5 ep/s | ETA: 2m
Episode   9700 | Avg Reward:     6.95 | MTTD:   9 | MTTR:  29 | FPR: 0.000 | CSR: 1 | 3.6 ep/s | ETA: 1m
Episode   9800 | Avg Reward:     7.61 | MTTD:  23 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 3.6 ep/s | ETA: 1m
Episode   9900 | Avg Reward:     7.24 | MTTD:   7 | MTTR:  27 | FPR: 0.002 | CSR: 1 | 3.6 ep/s | ETA: 0m
Episode  10000 | Avg Reward:     8.32 | MTTD:   7 | MTTR:  36 | FPR: 0.001 | CSR: 1 | 3.6 ep/s | ETA: 0m

Training complete in 45.9 minutes. Best reward: 13.54
Logs saved to: checkpoints/train_seed456.csv
