Device: mps, Seed: 789, Workers: 4
torch.compile: enabled for SC (aot_eager)
Mixed precision: enabled (torch.float16)
Replay buffer: prioritized (standard)
Starting training: 10000 episodes, K=5, workers=4
============================================================
Episode   8800 | Avg Reward:     7.73 | MTTD:   8 | MTTR:  32 | FPR: 0.000 | CSR: 1 | 6.3 ep/s | ETA: 3m
Episode   8900 | Avg Reward:     7.66 | MTTD:   7 | MTTR: 200 | FPR: 0.000 | CSR: 0 | 6.3 ep/s | ETA: 3m
Episode   9000 | Avg Reward:     7.94 | MTTD:   5 | MTTR:  20 | FPR: 0.000 | CSR: 1 | 6.3 ep/s | ETA: 3m
Episode   9100 | Avg Reward:     6.96 | MTTD:   5 | MTTR:  11 | FPR: 0.000 | CSR: 1 | 6.4 ep/s | ETA: 2m
Episode   9200 | Avg Reward:     7.23 | MTTD:   7 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 6.4 ep/s | ETA: 2m
Episode   9300 | Avg Reward:     6.68 | MTTD:   5 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 6.4 ep/s | ETA: 2m
Episode   9400 | Avg Reward:     7.53 | MTTD:   5 | MTTR:  13 | FPR: 0.000 | CSR: 1 | 6.4 ep/s | ETA: 2m
Episode   9500 | Avg Reward:     7.16 | MTTD:   5 | MTTR:  27 | FPR: 0.001 | CSR: 1 | 6.5 ep/s | ETA: 1m
Episode   9600 | Avg Reward:     7.33 | MTTD:   5 | MTTR:  47 | FPR: 0.000 | CSR: 1 | 6.5 ep/s | ETA: 1m
Episode   9700 | Avg Reward:     8.45 | MTTD:  12 | MTTR:  31 | FPR: 0.000 | CSR: 1 | 6.5 ep/s | ETA: 1m
Episode   9800 | Avg Reward:     7.80 | MTTD:   4 | MTTR:  48 | FPR: 0.000 | CSR: 1 | 6.6 ep/s | ETA: 1m
Episode   9900 | Avg Reward:     7.86 | MTTD:   6 | MTTR:  17 | FPR: 0.000 | CSR: 1 | 6.6 ep/s | ETA: 0m
Episode  10000 | Avg Reward:     7.47 | MTTD:   9 | MTTR: 200 | FPR: 0.000 | CSR: 0 | 6.6 ep/s | ETA: 0m

Training complete in 25.2 minutes. Best reward: 14.03
Logs saved to: checkpoints/train_seed789.csv
